Ref.Code,"Business unit","Client Name",Email,"Address Line","Split Rate","Booking Email","Invoicing Email","Invoice Address",Contact
BU95H70,"1 Forbes Close","HF Trust Limited",julie.edwards@hft.org.uk,"1 Forbes Cl, Telford TF7 5LE, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 432065"
BU95H85,"12 Magnolia Drive","Swanton Care",lisa.gold@swantoncare.com,"12 Magnolia Dr, Overdale, Telford TF3, 5EG UK",ON,,"Invoices@swantoncare.com, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 7823 790940"
BU95H72,"12 Well Meadow  (Bethphage)",Bethphage,bwiggets@bethphage.co.uk,"12 Well Meadow, Bridgnorth, Shropshire, WV15 6DE",ON,,"suppliers@bethphage.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1952 457382"
BU95H63,"15 Innage Gardens  (Bethphage)",Bethphage,adavis@bethphage.co.uk,"15 Innage Gardens, Bridgnorth WV16 4HW, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 457382"
BU95H49,"18 Madebrook Close","HF Trust Limited",Julie.Edwards@hft.org.uk,"18 Madebrook Cl, Sutton Hill, Telford TF7 4JU, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 432065"
BU95H21,"19 Lawton Farm way",Livability,mearle@livability.org.uk,"19 Lawton Farm Way, Telford TF1 6PP, UK",ON,,"purchases.oss@livability.org.uk, purchasing@livability.org.uk, POss@livability.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com","York House Glebe Road ,  Bayston Hill ,  SY3 OPZ","+44 1743 874885"
BU95H105,"23 Aston Butts","Macintyre Care",adam.payne@macintyrecharity.org,"23 Aston Butts, Shrewsbury SY2 5SA, UK",ON,,"finance@macintyrecharity.org, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 364052"
BU95H113,"23 Bostock Crescent","Swanton Care",Annabelle.hart@swantoncare.com,"Bostock Cres, Telford TF3 1BU, UK",ON,,Annabelle.hart@swantoncare.com,"Telford TF3 1BU","+44 7425 676634"
BU95H83,"246B Vicarage Road","Trident Group",temp@handfcare.com,"264B Vicarage Rd, King's Heath, Birmingham B14 7NH, UK",ON,,,,"+44 121 443 4347"
BU95H147,"255 Lichfield Road","Priory Group",kellyflavell@priorygroup.com,"Bloxwich Walsall West Midlands WS3 3DT United Kingdom",OFF,,"kellyflavell@priorygroup.com, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1922 694766"
BU95H82,"264B Vicarage Road","Trident Group",samantha.mcmillan@tridentreach.org.uk,"264B Vicarage Rd, King's Heath, Birmingham B14 7NH, UK",ON,,"invoices@tridentgroup.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 121 443 4347"
BU95H68,"3 Saville Close - Wellington","HF Trust Limited",julie.edwards@hft.org.uk,"Saville Cl, Wellington, Telford TF1 2DG, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 432065"
BU95H65,"3 The Dell  (Bethphage)",Bethphage,eboulton@bethphage.co.uk,"3 The Dell, Bicton Heath, Shrewsbury SY3 5HG, UK",ON,,"suppliers@bethphage.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 7948 099271"
BU95H116,"32 Bentley Drive","Macintyre Care",elena.ungureanu@macintyrecharity.org,"32 Bentley Dr, Oswestry SY11 1TQ, UK",ON,,elena.ungureanu@macintyrecharity.org,,"+44 1691 590360"
BU95H115,"35 Cedar Close","Macintyre Care",elena.ungureanu@macintyrecharity.org,"35 Cedar Cl, St Martin's, Oswestry SY11 3QF, UK",ON,,elena.ungureanu@macintyrecharity.org,,"+44 1691 773078"
BU95H32,"5 Athersmith Close",Livability,mearle@livability.org.uk,"5 Athersmith Cl, Telford TF4 2BJ, UK",ON,,"POss@livability.org.uk, purchasing@livability.org.uk, purchases.oss@livability.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com","York House Glebe Rd, Bayston Hill, Shrewsbury SY3 0PS, UK","+44 1743 874885"
BU95H61,"5 Collins Close (Bethphage)",Bethphage,fmathews@bethphage.co.uk,"5 Collins Cl, Broseley TF12 5BT, UK",ON,,"suppliers@bethphage.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 7783 171447"
