Sl No,Client,Business Unit Ref Code,Business Unit,Nominal Code,From,To,Created on,Invoice Number,Due Date,Total amount,Expenses Amount,Vat Amount,Grand Total,Paid Amount,Balance Amount,Status,Generated By
1,Swanton Care,BU95H85,12 Magnolia Drive,4000,04/24/23,04/30/23,05/02/2023,INV--2702,06/01/2023,186.08,0,0,186.08,0,186.08,Created,Isabel Mwaura
2,Macintyre Care,BU95H105,23 Aston Butts,4000,04/24/23,04/30/23,05/02/2023,INV--2703,06/01/2023,1553.76,0,0,1553.76,0,1553.76,Created,Isabel Mwaura
3,Macintyre Care,BU95H116,32 Bentley Drive,4000,04/24/23,04/30/23,05/02/2023,INV--2704,06/01/2023,2711.06,0,0,2711.06,0,2711.06,Created,Isabel Mwaura
4,Swanton Care,BU95H80,50 Deepdale,4000,04/24/23,04/30/23,05/02/2023,INV--2705,06/01/2023,358.48,0,0,358.48,0,358.48,Created,Isabel Mwaura
5,Bethphage,BU95H78,93 Sutton Road (Bethphage),4000,04/24/23,04/30/23,05/02/2023,INV--2706,06/01/2023,206.8,0,0,206.8,0,206.8,Created,Isabel Mwaura
6,Macintyre Care,BU95H95,94 Murrell Way,4000,04/24/23,04/30/23,05/02/2023,INV--2707,06/01/2023,1451.8,0,0,1451.8,0,1451.8,Created,Isabel Mwaura
7,PAKS Trust,MI95H169,Beaman House,4000,04/24/23,04/30/23,05/02/2023,INV--2708,06/01/2023,328.85,0,0,328.85,0,328.85,Created,Isabel Mwaura
8,Macintyre Care,BU95H128,Bradbury Bungalow,4000,04/24/23,04/30/23,05/02/2023,INV--2709,06/01/2023,3023.46,0,0,3023.46,0,3023.46,Created,Isabel Mwaura
9,Swanton Care,BU95H175,Courtyard Care Rose House,4000,04/24/23,04/30/23,05/02/2023,INV--2710,06/01/2023,849.65,0,0,849.65,0,849.65,Created,Isabel Mwaura
10,Swanton Care,BU95H34,Darwin Place,4000,04/24/23,04/30/23,05/02/2023,INV--2711,06/01/2023,3687.23,0,0,3687.23,0,3687.23,Created,Isabel Mwaura
11,PAKS Trust,MI95H170,Hatfield House,4000,04/24/23,04/30/23,05/02/2023,INV--2712,06/01/2023,1272.8,0,0,1272.8,0,1272.8,Created,Isabel Mwaura
12,PAKS Trust,MI95H171,Lupin House,4000,04/24/23,04/30/23,05/02/2023,INV--2713,06/01/2023,208.74,0,0,208.74,0,208.74,Created,Isabel Mwaura
13,Trident Group,BU95H41,Maer Lane,4000,04/24/23,04/30/23,05/02/2023,INV--2714,06/01/2023,312.81,0,0,312.81,0,312.81,Created,Isabel Mwaura
14,Macintyre Care,BU95H97,North Close,4000,04/24/23,04/30/23,05/02/2023,INV--2715,06/01/2023,905.51,0,0,905.51,0,905.51,Created,Isabel Mwaura
15,Bethphage,BU95H79,Robin House (Bethphage),4000,04/24/23,04/30/23,05/02/2023,INV--2716,06/01/2023,152.55,0,0,152.55,0,152.55,Created,Isabel Mwaura
16,Swanton Care,BU95H_177,Sampson Park (Bungalow 1),4000,04/24/23,04/30/23,05/02/2023,INV--2717,06/01/2023,206.8,0,0,206.8,0,206.8,Created,Isabel Mwaura
17,Swanton Care,BU95H114,Sampson Park (Bungalow 2),4000,04/24/23,04/30/23,05/02/2023,INV--2718,06/01/2023,771.92,0,0,771.92,0,771.92,Created,Isabel Mwaura
18,Macintyre Care,BU95H94,The Rowans,4000,04/24/23,04/30/23,05/02/2023,INV--2719,06/01/2023,150.75,0,0,150.75,0,150.75,Created,Isabel Mwaura
19,Macintyre Care,BU95H92,The Ryland's,4000,04/24/23,04/30/23,05/02/2023,INV--2720,06/01/2023,1300.35,0,0,1300.35,0,1300.35,Created,Isabel Mwaura
20,PAKS Trust,MI95H172,Walsingham House,4000,04/24/23,04/30/23,05/02/2023,INV--2721,06/01/2023,212.88,0,0,212.88,0,212.88,Created,Isabel Mwaura
21,Livability,BU95H2,York House,4000,04/24/23,04/30/23,05/02/2023,INV--2722,06/01/2023,2557.22,0,0,2557.22,0,2557.22,Created,Isabel Mwaura
22,Priory Group,BU95H147,255 Lichfield Road,4000,04/24/23,04/30/23,05/02/2023,INV--2723,06/01/2023,164,0,0,164,0,164,Created,Isabel Mwaura
23,Bethphage,BU95H106,Grange Road,4000,04/24/23,04/30/23,05/03/2023,INV--2724,06/02/2023,75.83,0,0,75.83,0,75.83,Created,Isabel Mwaura
24,Swanton Care,BU95H85,12 Magnolia Drive,4000,05/01/2023,05/07/2023,05/09/2023,INV--2725,06/08/2023,1575.83,0,0,1575.83,0,1575.83,Created,Isabel Mwaura
25,Macintyre Care,BU95H105,23 Aston Butts,4000,05/01/2023,05/07/2023,05/09/2023,INV--2726,06/08/2023,1574.75,0,0,1574.75,0,1574.75,Created,Isabel Mwaura
26,Swanton Care,BU95H113,23 Bostock Crescent,4000,05/01/2023,05/07/2023,05/09/2023,INV--2727,06/08/2023,365.36,0,0,365.36,0,365.36,Created,Isabel Mwaura
27,Macintyre Care,BU95H116,32 Bentley Drive,4000,05/01/2023,05/07/2023,05/09/2023,INV--2728,06/08/2023,3465.34,0,0,3465.34,0,3465.34,Created,Isabel Mwaura
